source_lo_id,dest_lo_id,source_lo_title,dest_lo_title
b5ff231c-862e-48ca-9af3-cccb70036970,c049667c-c70d-49a8-8813-58e6549dca44,Understand the relationship between the slope and y-intercept of a line and its equation,Graph linear functions
469b2556-7cfc-4439-81d4-93a8fa0c3c3b,3de366c2-d9ce-4b1b-93ec-24364e4d90f8,Convert between degree and radian measure of an angle,Understand when two angles are coterminal
ca7d45e6-c3f2-4c36-9ae3-ef35783ea720,5eea0631-82a1-4688-b338-cba7d14ccc80,Determine the open intervals where the first derivative is positive or negative from a graph,Determine where a function has a horizontal tangent
07306ccf-3eed-43fa-b1c0-aa48111211b8,76e79df5-8f54-4711-87dd-58e676eea609,Perform a quadratic regression with a calculator,Perform a polynomial regression with a calculator
ba07167e-0dbf-4f6a-aac1-996a7421bcbc,3a7f3fc2-ed8b-45d0-af08-e6043bd4650d,Convert between a system of equations and its corresponding augmented matrix,Read a solution from an initial simplex tableau
e7c01909-3be5-4679-a3e3-36245b38fd83,5a186d29-105a-4a14-8142-cd2bd26a23ae,Add and subtract decimals - ML,Simplify expressions with fractions and decimals - ML
858ea150-7bb3-480a-88f9-1a1f2c788ce1,f1418e8b-edb3-40a9-9712-bc6621b042e6,Identify domain and range from a set of ordered pairs,Determine whether a relation represents a function
fb83cad8-e122-4699-b02d-f8d5955395fe,cf168b07-cf3a-4673-b7f6-8a51a59487eb,Determine the order of a matrix and describe elements within a matrix,Create an input output matrix for a given application
56a996a8-17fc-490e-bc90-d072555d7842,1478da1a-dd83-45ef-9f9d-1897fb52ae64,Identify a tree,Develop a spanning tree for a given graph
9d95e1b2-ef4d-4b42-a226-3ed0205e1bfe,79581620-f0a5-4e77-a378-955bb40414e0,Represent and/or/not statements in symbolic form and English,Represent symbolic statements with parentheses using dominance of connectives
d8a543ae-6032-49d5-82f1-1fe121a7bc0e,d7b0a9da-71b4-41ee-b262-ca242276f08d,Find the equation of vertical and horizontal lines,Determine axis of symmetry and vertex of parabolas from a graph
396fa82a-036e-4f52-8376-14aa277eac71,fb882b7e-8d7c-488e-977f-08ccd54d0c89,Illustrate two sets using Venn diagram and set notation,Determine the union of two sets using Venn diagrams and set notation
45add779-46a6-4bd5-974f-52c0e486f67e,2501448d-6d1c-4165-8f17-1c9303cf0d11,Graph functions using compressions and stretches,Combine transformations
73ddc0b6-dec1-45da-a6fc-9a2a6c97effe,085025bd-bd38-4b6c-9a4b-d7b7d5a68680,Find the derivative of a natural logarithmic function,Find the derivative of a logarithmic function that is not base e
0339ad58-32be-4e73-9a4e-db45e68643dc,005206cf-348e-4e46-a8dc-f793561ab9d3,Understand the limit of a function and evaluate a limit from a table,Evaluate limits graphically
15412aed-3327-4f4c-b1fd-9515bcbb8532,5fd32174-9384-43ea-9809-f34cf1e40bb2,Add or subtract fractions with a common denominator - ML,Add or subtract fractions with different denominators - ML
e3101fa6-09b8-43d0-827c-f763d195cdb4,0abfaeb2-17ab-4145-9175-af03532798a9,Use Lagrange multipliers to find maximum and minimum values of a function of two variables with a single constraint,Use Lagrange multipliers to find maximum and minimum values of a function of three variables with a single constraint
b64ce1ec-3e81-48c1-ad10-e644f317b586,31ce05fb-989b-4baa-ada5-733e71933c5a,Solve equations with decimalsCoReq,Translate sentences involving decimals to an equation and solveCoReq
